1,Hollister
2,Durango
3,Winona
4,Buffalo Grove
5,Shelton
6,Agoura Hills
7,Northbrook
8,Lindenwold
9,La Mirada
10,Calumet City
11,Albuquerque
12,Galesburg
13,Fishers
14,Sugar Land
15,Bakersfield
16,Mandan
17,Mukilteo
18,Keller
19,Moline
20,Indio
21,San Jose
22,Crown Point
23,Shreveport
24,Allen Park
25,Bethany
26,Dana Point
27,Havelock
28,Revere
29,Universal City
30,Canton
31,Tamarac
32,Nashville
33,Montebello
34,Logansport
35,Hastings
36,Big Spring
37,Ann Arbor
38,Renton
39,Westland
40,Riverton
41,Lebanon
42,Pensacola
43,Kissimmee
44,Ponca City
45,SeaTac
46,Centennial
47,Asheville
48,Yuma
49,Alamogordo
50,Lorain
51,Wilson
52,Tinton Falls
53,Urbana
54,Desert Hot Springs
55,Berwyn
56,Poplar Bluff
57,Maricopa
58,Wisconsin Rapids
59,Algonquin
60,Dublin
61,Pawtucket
62,Thomasville
63,Dothan
64,West Palm Beach
65,Helena
66,Sunnyvale
67,Pascagoula
68,Findlay
69,Broomfield
70,Waterloo
71,Hallandale Beach
72,Miami Lakes
73,Long Branch
74,Blue Springs
75,Manteca
76,Tooele
77,North Las Vegas
78,Ridgewood
79,Hagerstown
80,Grandville
81,Mokena
82,Schertz
83,Poway
84,Newport News
85,Fort Dodge
86,Forest Lake
87,Palm Springs
88,American Fork
89,Monrovia
90,Eugene
91,Port Hueneme
92,Mission Viejo
93,Warwick
94,Vero Beach
95,Elmwood Park
96,Herriman
97,Lemoore
98,Ellensburg
99,Troy
100,Erie
101,Bloomington
102,New Britain
103,El Paso
104,Madison Heights
105,Eastpointe
106,Ocoee
107,Lubbock
108,Knoxville
109,Carpentersville
110,Greensboro
111,Daytona Beach
112,Elk Grove Village
113,Delray Beach
114,North Lauderdale
115,Coachella
116,Belvidere
117,Ocala
118,St. Matthews
119,Camden
120,Fridley
121,Orinda
122,Sioux Falls
123,Sterling Heights
124,Grapevine
125,Goodyear
126,East Chicago
127,Rahway
128,Kiryas Joel
129,Golden
130,Covington
131,Murrieta
132,Muncie
133,Sanger
134,Anniston
135,St. Clair Shores
136,Elk Grove
137,Campbell
138,Harrisburg
139,Converse
140,Pine Bluff
141,Dyersburg
142,Tucson
143,Southgate
144,Wilkes-Barre
145,San Rafael
146,Columbus
147,Sunrise
148,Fort Walton Beach
149,Madisonville
150,Deerfield Beach
151,Nashua
152,Oregon City
153,Mission
154,Beavercreek
155,Bangor
156,La Puente
157,Pleasant Prairie
158,Spring Valley
159,Cathedral City
160,Rocky Mount
161,Anacortes
162,Paramount
163,Winter Park
164,Edina
165,Perrysburg
166,Paterson
167,Woodland
168,Cedar City
169,La Porte
170,East Cleveland
171,Herndon
172,Sun Prairie
173,Collierville
174,Portland
175,Victorville
176,Pinellas Park
177,Trenton
178,Cartersville
179,Moses Lake
180,Yuba City
181,Fairfield
182,St. Paul
183,Edwardsville
184,Sycamore
185,Oklahoma City
186,Gardena
187,Greenbelt
188,Boise City
189,Norman
190,Wyandotte
191,Milford
192,Grayslake
193,Waco
194,Banning
195,Valley Stream
196,Parkersburg
197,Scottsdale
198,Taylor
199,Denver
200,Tallmadge
201,Daphne
202,Forest Park
203,San Benito
204,Plainview
205,Toledo
206,South St. Paul
207,Pekin
208,Titusville
209,Eagle
210,Edinburg
211,Warren
212,Bremerton
213,Carson City
214,Monroe
215,Yorba Linda
216,Hamilton
217,South Lake Tahoe
218,Hillsboro
219,Battle Ground
220,Naugatuck
221,Key West
222,North Platte
223,Lemon Grove
224,Royal Palm Beach
225,Forest Grove
226,Attleboro
227,Hemet
228,Farmers Branch
229,Hazelwood
230,Twin Falls
231,San Juan
232,Prairie Village
233,Quincy
234,Richmond
235,West Allis
236,Manhattan Beach
237,Rock Hill
238,New Albany
239,Kannapolis
240,South Bend
241,Wellington
242,Chicago
243,Layton
244,Bellingham
245,New Lenox
246,Lodi
247,West Haven
248,West Chicago
249,Chapel Hill
250,South Holland
251,Pampa
252,Watsonville
253,Marietta
254,Morgan Hill
255,Turlock
256,Dover
257,Hesperia
258,Summit
259,Cedar Park
260,De Land
261,Rowlett
262,Melrose
263,Chillicothe
264,Apopka
